Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
7/21/2011,4:00,NZD,L,Credit Card Spending y/y,4.50%,,5.50%,
7/21/2011,5:30,JPY,L,All Industries Activity m/m,2.00%,1.90%,1.40%,
7/21/2011,7:00,CHF,M,Trade Balance,1.75B,2.87B,3.25B,
7/21/2011,8:00,EUR,M,French Flash Manufacturing PMI,50.1,52.3,52.5,
7/21/2011,8:00,EUR,M,French Flash Services PMI,54.2,55.8,56.1,
7/21/2011,8:30,EUR,M,German Flash Manufacturing PMI,52.1,54.1,54.6,
7/21/2011,8:30,EUR,M,German Flash Services PMI,52.9,56.1,56.7,
7/21/2011,9:00,EUR,M,Current Account,-5.2B,-4.8B,-5.4B,
7/21/2011,9:00,EUR,M,Flash Manufacturing PMI,50.4,51.6,52,
7/21/2011,9:00,EUR,M,Flash Services PMI,51.4,53.2,53.7,
7/21/2011,9:30,GBP,H,Public Sector Net Borrowing,12.0B,11.8B,14.6B,
7/21/2011,9:30,GBP,H,Retail Sales m/m,0.70%,0.50%,-1.30%,
7/21/2011,9:48,EUR,M,Spanish 10-y Bond Auction,5.90|1.9,,5.40|1.8,
7/21/2011,10:00,CHF,M,Credit Suisse Economic Expectations,-58.9,,-24.3,
7/21/2011,13:30,USD,H,Unemployment Claims,418K,409K,408K,
7/21/2011,13:30,USD,M,FOMC Member Evans Speaks,,,,
7/21/2011,15:00,USD,H,Fed Chairman Bernanke Testifies,,,,
7/21/2011,15:00,USD,H,Philly Fed Manufacturing Index,3.2,2.7,-7.7,
7/21/2011,15:00,USD,L,CB Leading Index m/m,0.30%,0.20%,0.80%,
7/21/2011,15:00,USD,L,HPI m/m,0.40%,0.40%,0.20%,
7/21/2011,15:30,USD,L,Natural Gas Storage,60B,67B,84B,
7/22/2011,2:30,AUD,M,Import Prices q/q,0.80%,-1.00%,1.40%,
7/22/2011,9:00,EUR,H,German ifo Business Climate,112.9,113.7,114.5,
7/22/2011,9:00,EUR,L,Italian Retail Sales m/m,-0.10%,0.30%,0.20%,
7/22/2011,10:00,EUR,M,Industrial New Orders m/m,3.60%,0.70%,-0.10%,
7/22/2011,12:00,CAD,H,Core CPI m/m,-0.60%,0.00%,0.50%,
7/22/2011,12:00,CAD,M,CPI m/m,-0.70%,-0.20%,0.70%,
7/22/2011,13:30,CAD,H,Core Retail Sales m/m,0.50%,0.20%,0.00%,
7/22/2011,13:30,CAD,M,Retail Sales m/m,0.10%,-0.30%,0.30%,
7/25/2011,2:30,AUD,H,PPI q/q,0.80%,0.60%,1.20%,
7/25/2011,3:30,JPY,M,BOJ Gov Shirakawa Speaks,,,,
7/25/2011,5:30,AUD,M,RBA Assist Gov Edey Speaks,,,,
7/25/2011,9:30,GBP,M,High Street Lending,31.7K,31.3K,30.8K,
7/25/2011,14:00,EUR,M,Belgian NBB Business Climate,-2.5,-2.2,-1.1,
7/25/2011,23:45,NZD,M,Trade Balance,230M,391M,552M,
7/26/2011,0:50,JPY,L,SPPI y/y,-0.70%,-0.90%,-0.90%,
7/26/2011,1:00,AUD,M,CB Leading Index m/m,-0.10%,,0.20%,
7/26/2011,4:05,AUD,H,RBA Gov Stevens Speaks,,,,
7/26/2011,7:00,CHF,M,UBS Consumption Indicator,1.48,,1.88,
7/26/2011,7:00,EUR,M,German GfK Consumer Climate,5.4,5.6,5.5,
7/26/2011,9:30,GBP,H,Prelim GDP q/q,0.20%,0.20%,0.50%,
7/26/2011,9:30,GBP,L,Index of Services 3m/3m,1.20%,0.90%,0.90%,
7/26/2011,14:00,USD,M,S&P/CS Composite-20 HPI y/y,-4.50%,-4.60%,-4.20%,
7/26/2011,15:00,USD,H,CB Consumer Confidence,59.5,57.1,57.6,
7/26/2011,15:00,USD,H,New Home Sales,312K,321K,315K,
7/26/2011,15:00,USD,L,Richmond Manufacturing Index,-1,5,3,
7/27/2011,0:01,EUR,M,German Prelim CPI m/m,0.40%,0.30%,0.10%,
7/27/2011,2:00,NZD,H,ANZ Business Confidence,47.6,,46.5,
7/27/2011,2:30,AUD,H,CPI q/q,0.90%,0.70%,1.60%,
7/27/2011,2:30,AUD,M,Trimmed Mean CPI q/q,0.90%,0.70%,0.90%,
7/27/2011,7:00,EUR,L,German Import Prices m/m,-0.60%,0.00%,-0.60%,
7/27/2011,9:00,EUR,M,M3 Money Supply y/y,2.10%,2.40%,2.50%,
7/27/2011,9:00,EUR,L,Private Loans y/y,2.50%,2.80%,2.70%,
7/27/2011,10:30,CHF,H,KOF Economic Barometer,2.04,2.12,2.23,
7/27/2011,11:00,GBP,M,CBI Industrial Order Expectations,-10,-2,1,
7/27/2011,13:30,USD,H,Core Durable Goods Orders m/m,0.10%,0.50%,0.70%,
7/27/2011,13:30,USD,M,Durable Goods Orders m/m,-2.10%,0.40%,1.90%,
7/27/2011,15:30,USD,M,Crude Oil Inventories,2.3M,-1.2M,-3.7M,
7/27/2011,18:30,GBP,M,MPC Member Miles Speaks,,,,
7/27/2011,19:00,USD,M,Beige Book,,,,
7/27/2011,22:00,NZD,H,Official Cash Rate,2.50%,2.50%,2.50%,
7/27/2011,22:00,NZD,H,RBNZ Rate Statement,,,,
7/28/2011,0:50,JPY,M,Retail Sales y/y,1.10%,-0.60%,-1.30%,
7/28/2011,8:55,EUR,M,German Unemployment Change,-11K,-15K,-8K,
7/28/2011,9:00,EUR,L,Retail PMI,48.2,,48.8,
7/28/2011,10:22,EUR,M,Italian 10-y Bond Auction,5.77|1.4,,4.94|1.3,
7/28/2011,11:00,GBP,M,CBI Realized Sales,-5,1,-2,
7/28/2011,13:30,USD,H,Unemployment Claims,398K,413K,422K,
7/28/2011,15:00,USD,H,Pending Home Sales m/m,2.40%,-1.50%,8.20%,
7/28/2011,15:30,USD,L,Natural Gas Storage,43B,38B,60B,
7/28/2011,23:45,NZD,H,Building Consents m/m,-1.40%,,2.40%,
7/29/2011,0:01,GBP,H,Nationwide HPI m/m,0.20%,-0.10%,0.00%,
7/29/2011,0:01,GBP,M,GfK Consumer Confidence,-30,-26,-25,
7/29/2011,0:15,JPY,L,Final Manufacturing PMI,52.1,,50.7,
7/29/2011,0:30,JPY,M,Household Spending y/y,-4.20%,-2.20%,-1.90%,
7/29/2011,0:30,JPY,M,Tokyo Core CPI y/y,0.40%,0.20%,0.10%,
7/29/2011,0:30,JPY,L,National Core CPI y/y,0.40%,0.50%,0.60%,
7/29/2011,0:30,JPY,L,Unemployment Rate,4.60%,4.60%,4.50%,
7/29/2011,0:50,JPY,M,Prelim Industrial Production m/m,3.90%,4.60%,6.20%,
7/29/2011,2:30,AUD,M,Private Sector Credit m/m,-0.10%,0.40%,0.30%,
7/29/2011,6:00,JPY,L,Housing Starts y/y,5.80%,4.90%,6.40%,
7/29/2011,7:00,EUR,M,German Retail Sales m/m,6.30%,1.60%,-2.80%,
7/29/2011,7:45,EUR,M,French Consumer Spending m/m,1.20%,0.40%,-0.30%,
7/29/2011,8:00,EUR,M,Spanish Unemployment Rate,20.90%,21.00%,21.30%,
7/29/2011,8:00,EUR,L,Spanish Flash CPI y/y,3.10%,2.90%,3.20%,
7/29/2011,9:30,GBP,M,Net Lending to Individuals m/m,0.4B,1.3B,1.4B,
7/29/2011,9:30,GBP,L,M4 Money Supply m/m,-0.50%,0.30%,0.10%,
7/29/2011,9:30,GBP,L,Mortgage Approvals,48K,46K,46K,
7/29/2011,10:00,EUR,M,CPI Flash Estimate y/y,2.50%,2.70%,2.70%,
7/29/2011,10:00,EUR,L,Italian Prelim CPI m/m,0.30%,0.20%,0.10%,
7/29/2011,13:30,CAD,H,GDP m/m,-0.30%,0.10%,0.00%,
7/29/2011,13:30,CAD,M,RMPI m/m,-2.20%,0.60%,-5.30%,
7/29/2011,13:30,CAD,L,IPPI m/m,-0.30%,0.10%,-0.30%,
7/29/2011,13:30,USD,H,Advance GDP q/q,1.30%,1.70%,1.90%,
7/29/2011,13:30,USD,M,Advance GDP Price Index q/q,2.30%,2.00%,2.00%,
7/29/2011,13:30,USD,M,Employment Cost Index q/q,0.70%,0.50%,0.60%,
7/29/2011,14:45,USD,M,Chicago PMI,58.8,60.1,61.1,
7/29/2011,14:55,USD,M,Revised UoM Consumer Sentiment,63.7,64.1,63.8,
7/29/2011,14:55,USD,L,Revised UoM Inflation Expectations,3.40%,,3.40%,
7/29/2011,15:20,USD,L,President Obama Speaks,,,,
7/31/2011,0:01,AUD,N,Bank Holiday,,,,
8/1/2011,0:01,CHF,N,Bank Holiday,,,,
8/1/2011,0:01,CAD,N,Bank Holiday,,,,
8/1/2011,0:30,AUD,L,AIG Manufacturing Index,43.4,,52.9,
8/1/2011,1:30,AUD,L,MI Inflation Gauge m/m,0.30%,,0.00%,
8/1/2011,2:00,AUD,M,HIA New Home Sales m/m,-8.70%,,-0.20%,
8/1/2011,2:00,CNY,H,Manufacturing PMI,50.7,50.2,50.9,
8/1/2011,2:05,NZD,L,ANZ Commodity Prices m/m,-0.10%,,-1.20%,
8/1/2011,3:30,CNY,M,Caixin Manufacturing PMI,49.3,,48.9,
8/1/2011,8:15,EUR,M,Spanish Manufacturing PMI,45.6,,47.3,
8/1/2011,8:45,EUR,M,Italian Manufacturing PMI,50.1,50.6,49.9,
8/1/2011,8:50,EUR,L,French Final Manufacturing PMI,50.5,50.2,50.1,
8/1/2011,8:55,EUR,L,German Final Manufacturing PMI,52,52.1,52.1,
8/1/2011,9:00,EUR,L,Final Manufacturing PMI,50.4,50.4,50.4,
8/1/2011,9:00,EUR,L,Italian Monthly Unemployment Rate,8.00%,8.00%,8.10%,
8/1/2011,9:30,GBP,H,Final Manufacturing PMI,49.1,51.1,51.4,
8/1/2011,10:00,EUR,M,Unemployment Rate,9.90%,9.90%,9.90%,
8/1/2011,15:00,USD,H,ISM Manufacturing PMI,50.9,55,55.3,
8/1/2011,15:00,USD,L,Construction Spending m/m,0.20%,-0.10%,0.30%,
8/1/2011,15:00,USD,L,ISM Manufacturing Prices,59,64.4,68,
8/1/2011,23:45,NZD,H,Labor Cost Index q/q,0.50%,0.50%,0.40%,
8/2/2011,0:01,USD,L,Total Vehicle Sales,12.2M,11.9M,11.5M,
8/2/2011,0:50,JPY,L,Monetary Base y/y,15.00%,18.10%,17.00%,
8/2/2011,2:30,AUD,H,Building Approvals m/m,-3.50%,2.60%,-6.30%,
8/2/2011,2:30,AUD,M,HPI q/q,-0.10%,-0.90%,-1.10%,
8/2/2011,2:30,JPY,M,Average Cash Earnings y/y,-0.80%,0.40%,1.00%,
8/2/2011,4:45,JPY,L,10-y Bond Auction,1.04|3.1,,1.17|3.2,
8/2/2011,5:30,AUD,H,Cash Rate,4.75%,4.75%,4.75%,
8/2/2011,5:30,AUD,H,RBA Rate Statement,,,,
8/2/2011,7:30,AUD,M,Commodity Prices y/y,27.60%,,28.20%,
8/2/2011,8:00,EUR,M,Spanish Unemployment Change,-42.1K,,-67.9K,
8/2/2011,8:15,CHF,H,Retail Sales y/y,7.40%,1.60%,-3.90%,
8/2/2011,8:30,CHF,M,Manufacturing PMI,53.5,52.3,53.4,
8/2/2011,9:30,GBP,H,Construction PMI,53.5,53.2,53.6,
8/2/2011,10:00,EUR,L,PPI m/m,0.00%,0.10%,-0.20%,
8/2/2011,13:30,USD,M,Core PCE Price Index m/m,0.10%,0.20%,0.20%,
8/2/2011,13:30,USD,M,Personal Spending m/m,-0.20%,0.20%,0.10%,
8/2/2011,13:30,USD,L,Personal Income m/m,0.10%,0.30%,0.20%,
8/2/2011,14:30,CAD,L,Manufacturing PMI,53.1,,52.8,
8/2/2011,15:30,NZD,L,GDT Price Index,-2.00%,,-6.10%,
8/2/2011,17:15,USD,L,President Obama Speaks,,,,
8/3/2011,0:01,GBP,L,BRC Shop Price Index y/y,2.80%,,2.90%,
8/3/2011,0:30,AUD,M,AIG Services Index,48.8,,48.5,
8/3/2011,2:00,CNY,L,Non-Manufacturing PMI,59.6,,57,
8/3/2011,2:30,AUD,H,Retail Sales m/m,-0.10%,0.40%,-0.60%,
8/3/2011,2:30,AUD,H,Trade Balance,2.05B,2.22B,2.70B,
8/3/2011,3:30,CNY,L,Caixin Services PMI,53.5,,54.1,
8/3/2011,8:00,CHF,H,Libor Rate,<0.25%,,0.25%,
8/3/2011,8:15,EUR,L,Spanish Services PMI,46.5,,50.2,
8/3/2011,8:45,EUR,L,Italian Services PMI,48.6,47,47.4,
8/3/2011,8:50,EUR,L,French Final Services PMI,53.2,54.2,54.2,
8/3/2011,8:55,EUR,L,German Final Services PMI,52.9,52.9,52.9,
8/3/2011,9:00,EUR,L,Final Services PMI,51.6,51.4,51.4,
8/3/2011,9:30,GBP,H,Final Services PMI,55.4,53.3,53.9,
8/3/2011,10:00,EUR,M,Retail Sales m/m,0.90%,0.50%,-1.30%,
8/3/2011,12:30,USD,L,Challenger Job Cuts y/y,59.40%,,5.30%,
8/3/2011,13:15,USD,H,ADP Non-Farm Employment Change,114K,101K,145K,
8/3/2011,15:00,USD,H,ISM Services PMI,52.7,53.8,53.3,
8/3/2011,15:00,USD,M,Factory Orders m/m,-0.80%,-0.40%,0.60%,
8/3/2011,15:30,USD,M,Crude Oil Inventories,1.0M,1.3M,2.3M,
8/3/2011,23:45,NZD,H,Employment Change q/q,0.00%,0.00%,1.30%,
8/3/2011,23:45,NZD,H,Unemployment Rate,6.50%,6.50%,6.50%,
